City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,agadez,19.75,10.25,29.21,8,0,5.26,NE,1717982882
1,grytviken,-54.2811,-36.5092,-7.11,77,22,5.18,GS,1717982882
2,puerto natales,-51.7236,-72.4875,1.41,99,100,2.33,CL,1717982882
3,blackmans bay,-43.0167,147.3167,10.2,62,5,1.79,AU,1717982883
4,west island,-12.1568,96.8225,27.99,83,40,3.6,CC,1717982827
5,port-aux-francais,-49.35,70.2167,3.08,87,100,17.36,TF,1717982883
6,tirumakudal narsipur,12.21,76.9064,22.35,85,67,4.62,IN,1717982883
7,qamdo,31.1667,97.2333,12.87,49,14,1.03,CN,1717982883
8,enewetak,11.3474,162.3373,28.43,81,29,7.28,MH,1717982883
9,broome,42.2506,-75.833,12.92,94,100,4.12,US,1717982637
10,iqaluit,63.7506,-68.5145,0.39,80,75,5.66,CA,1717982884
11,waitangi,-43.9535,-176.5597,13.79,96,100,4.92,NZ,1717982884
12,ushuaia,-54.8,-68.3,-3.19,86,0,1.54,AR,1717982413
13,papatowai,-46.5619,169.4708,8.72,74,4,4.24,NZ,1717982884
14,adamstown,-25.066,-130.1015,22.31,75,100,5.65,PN,1717982884
15,uturoa,-16.7333,-151.4333,25.79,81,69,5.66,PF,1717982800
16,new norfolk,-42.7826,147.0587,11.68,60,18,1.71,AU,1717982885
17,salekhard,66.53,66.6019,10.78,76,80,2.24,RU,1717982885
18,mersa matruh,31.3525,27.2453,22.02,88,0,4.41,EG,1717982706
19,wailua homesteads,22.0669,-159.378,26.35,73,0,6.17,US,1717982885
20,tiksi,71.6872,128.8694,2.25,85,94,3.21,RU,1717982885
21,qaqortoq,60.7167,-46.0333,6.75,89,94,1.45,GL,1717982885
22,puerto ayora,-0.7393,-90.3518,22.53,97,43,3.01,EC,1717982788
23,port-vila,-17.7338,168.3219,28.78,74,20,5.14,VU,1717982728
24,picota,-6.9197,-76.3304,23.27,70,100,1.06,PE,1717982886
25,bubaque,11.2833,-15.8333,26.54,80,22,6.19,GW,1717982740
26,belyy yar,53.6039,91.3903,16.94,67,0,0.0,RU,1717982886
27,hawaiian paradise park,19.5933,-154.9731,27.15,68,0,3.6,US,1717982886
28,shimoda,34.6667,138.95,18.39,92,100,3.94,JP,1717982886
29,bilibino,68.0546,166.4372,12.91,39,54,1.32,RU,1717982886
30,kalmunai,7.4167,81.8167,26.33,82,52,3.13,LK,1717982814
31,remire-montjoly,4.9167,-52.2667,26.02,94,100,1.54,GF,1717982887
32,holualoa,19.6228,-155.9522,25.44,76,75,4.63,US,1717982668
33,alenquer,-1.9417,-54.7383,24.19,94,86,1.34,BR,1717982887
34,avarua,-21.2078,-159.775,24.03,60,40,3.6,CK,1717982638
35,antsiranana,-12.2787,49.2917,21.39,69,3,4.34,MG,1717982647
36,kurchatov,51.6601,35.6521,14.23,82,73,2.44,RU,1717982887
37,kailua-kona,19.6406,-155.9956,27.49,71,75,4.63,US,1717982888
38,invercargill,-46.4,168.35,8.9,75,1,4.92,NZ,1717982888
39,constantia,44.1833,28.65,20.38,73,100,4.31,RO,1717982589
40,olonkinbyen,70.9221,-8.7187,-1.02,85,100,6.55,SJ,1717982713
41,margaret river,-33.95,115.0667,15.43,62,100,9.9,AU,1717982888
42,thompson,55.7435,-97.8558,19.09,26,20,2.57,CA,1717982820
43,turkmenbasy,40.0222,52.9552,26.43,34,0,0.0,TM,1717982889
44,urumqi,43.801,87.6005,26.53,30,0,2.0,CN,1717982889
45,kerikeri,-35.2268,173.9474,20.13,62,17,2.28,NZ,1717982889
46,ribeira grande,38.5167,-28.7,18.76,88,91,0.45,PT,1717982889
47,punta arenas,-53.15,-70.9167,1.06,93,100,2.06,CL,1717982604
48,northam,51.0333,-4.2167,13.43,86,100,9.06,GB,1717982889
49,myeik,12.4333,98.6,26.3,87,100,7.68,MM,1717982889
50,vadso,70.0744,29.7487,4.09,93,100,7.72,NO,1717982889
51,saipan,15.1355,145.701,30.39,79,40,6.69,MP,1717982890
52,wanxian,30.8039,108.3897,26.52,76,66,0.09,CN,1717982890
53,tual,-5.6667,132.75,26.92,84,15,9.6,ID,1717982890
54,kiruna,67.8557,20.2251,7.51,87,100,1.03,SE,1717982890
55,ciudad guayana,8.3533,-62.6528,25.51,91,100,2.43,VE,1717982890
56,petropavlovsk-kamchatsky,53.0452,158.6483,15.25,75,75,5.81,RU,1717982890
57,vrangel',42.7297,133.0839,15.85,79,96,4.19,RU,1717982785
58,bethel,41.3712,-73.414,15.88,77,40,0.89,US,1717982891
59,naifaru,5.4444,73.3657,28.88,75,72,6.78,MV,1717982891
60,alofi,-19.0595,-169.9187,25.94,61,75,8.75,NU,1717982891
61,utrik,11.2278,169.8474,28.37,80,49,7.52,MH,1717982891
62,edinburgh of the seven seas,-37.0676,-12.3116,12.25,80,100,7.91,SH,1717982713
63,georgetown,5.4112,100.3354,26.09,83,20,3.09,MY,1717982384
64,polyarnyy,69.1989,33.4478,6.46,87,62,2.51,RU,1717982891
65,mount pearl,47.5166,-52.7813,10.02,93,100,10.29,CA,1717982892
66,minas de marcona,-15.2119,-75.1103,12.25,85,100,4.76,PE,1717982892
67,pariaman,-0.619,100.12,28.03,77,100,1.2,ID,1717982892
68,hadibu,12.65,54.0333,28.39,78,41,7.7,YE,1717982892
69,ainaro,-8.9924,125.5082,22.09,61,6,1.69,TL,1717982770
70,north bay,46.3168,-79.4663,13.01,94,100,6.69,CA,1717982726
71,owando,-0.4819,15.8999,23.59,87,100,1.48,CG,1717982892
72,priargunsk,50.3691,119.1012,19.25,61,82,2.44,RU,1717982892
73,ancud,-41.8697,-73.8203,9.44,89,99,5.18,CL,1717982892
74,st. john's,47.5649,-52.7093,10.51,93,100,10.29,CA,1717982804
75,stanley,54.868,-1.6985,7.6,92,20,2.57,GB,1717982786
76,mahenge,-8.6833,36.7167,14.99,82,89,3.46,TZ,1717982830
77,cidreira,-30.1811,-50.2056,19.33,83,9,2.39,BR,1717982649
78,mount pleasant,32.7941,-79.8626,28.44,68,0,4.63,US,1717982893
79,porto novo,6.4965,2.6036,25.57,90,100,2.38,BJ,1717982893
80,carnarvon,-24.8667,113.6333,20.74,80,97,5.25,AU,1717982893
81,nova olimpia,-14.7972,-57.2881,23.58,53,0,2.28,BR,1717982894
82,ath thawrah,35.8469,38.5443,25.62,51,4,6.59,SY,1717982894
83,port mathurin,-19.6833,63.4167,23.81,82,97,9.49,MU,1717982894
84,corinto,37.9407,22.9573,25.68,58,1,1.7,GR,1717982765
85,dudinka,69.4058,86.1778,3.71,94,86,3.58,RU,1717982894
86,vorgashor,67.5833,63.95,2.11,96,100,2.95,RU,1717982894
87,yanchep,-31.55,115.6833,17.95,54,100,6.78,AU,1717982894
88,calderitas,18.55,-88.25,28.49,80,30,4.06,MX,1717982894
89,port alfred,-33.5906,26.891,15.73,60,3,3.32,ZA,1717982805
90,flin flon,54.7682,-101.865,13.45,61,6,3.63,CA,1717982856
91,college,64.8569,-147.8028,27.12,21,75,1.54,US,1717982895
92,fale old settlement,-9.3852,-171.2468,28.13,79,88,6.83,TK,1717982666
93,olinda,-8.0089,-34.8553,26.85,74,20,6.69,BR,1717982597
94,mouila,-1.8685,11.0559,22.35,93,59,0.73,GA,1717982895
95,luderitz,-26.6481,15.1594,21.41,26,39,7.06,NA,1717982895
96,ilulissat,69.2167,-51.1,3.01,87,75,3.6,GL,1717982895
97,bourg-saint-andeol,44.3757,4.6427,16.74,97,38,4.48,FR,1717982896
98,medak,18.0333,78.2667,26.73,75,82,3.38,IN,1717982896
99,galle,6.0367,80.217,28.85,84,100,5.59,LK,1717982616
100,oranjemund,-28.55,16.4333,19.03,27,39,7.89,NA,1717982896
101,plastun,44.7561,136.2939,19.78,57,100,1.73,RU,1717982896
102,howrah,22.5892,88.3103,32.0,79,20,4.12,IN,1717982896
103,sikasso,10.9167,-7.0,25.41,73,100,2.12,ML,1717982896
104,zaragoza,41.6561,-0.8773,15.55,61,0,11.32,ES,1717982897
105,lebu,-37.6167,-73.65,12.65,89,86,8.5,CL,1717982853
106,aasiaat,68.7098,-52.8699,1.1,99,100,3.7,GL,1717982897
107,port saint john's,-31.6229,29.5448,15.35,60,0,2.64,ZA,1717982641
108,alice springs,-23.7,133.8833,17.75,45,0,0.0,AU,1717982725
109,vazante,-17.9869,-46.9078,17.88,58,9,1.65,BR,1717982897
110,iskateley,67.6803,53.1512,1.68,87,100,4.47,RU,1717982897
111,lihue,21.9789,-159.3672,27.03,63,0,6.17,US,1717982647
112,greencastle,39.6445,-86.8647,20.21,55,0,2.06,US,1717982897
113,flying fish cove,-10.4217,105.6791,26.82,89,75,4.63,CX,1717982898
114,yellowknife,62.456,-114.3525,16.29,41,75,3.09,CA,1717982898
115,jamestown,42.097,-79.2353,13.38,95,100,3.09,US,1717982815
116,katsuura,35.1333,140.3,19.64,87,100,5.71,JP,1717982898
117,akureyri,65.6835,-18.0878,4.96,81,100,2.57,IS,1717982898
118,blaydon-on-tyne,54.9646,-1.7139,8.83,90,20,2.57,GB,1717982724
119,kirakira,-10.4544,161.9205,29.36,75,60,4.6,SB,1717982711
120,dzerzhinskoye,56.8344,95.2283,13.19,82,75,4.02,RU,1717982899
121,albany,42.6001,-73.9662,14.44,81,86,0.45,US,1717982689
122,port douglas,-16.4833,145.4667,21.91,61,9,3.15,AU,1717982899
123,puerto baquerizo moreno,-0.9,-89.6,22.34,89,78,3.71,EC,1717982899
124,udachny,66.4167,112.4,21.36,32,42,4.26,RU,1717982899
125,port elizabeth,-33.918,25.5701,7.16,93,0,2.06,ZA,1717982899
126,cox's bazar,21.4532,91.9798,29.06,80,85,2.48,BD,1717982899
127,colonia,50.9333,6.95,9.24,82,0,0.51,DE,1717982900
128,luancheng,37.8792,114.6517,30.09,21,6,0.46,CN,1717982900
129,hamilton,39.1834,-84.5333,20.88,48,40,3.13,US,1717982900
130,san patricio,28.017,-97.5169,30.09,68,2,6.57,US,1717982900
131,talara,-4.5772,-81.2719,20.42,77,0,5.37,PE,1717982893
132,yeppoon,-23.1333,150.7333,24.03,42,0,2.92,AU,1717982853
133,bulgan,48.8125,103.5347,19.33,49,97,1.98,MN,1717982901
134,anloga,5.7947,0.8973,26.81,85,100,4.92,GH,1717982901
135,isafjordur,66.0755,-23.124,3.74,88,18,1.18,IS,1717982901
136,buenavista del norte,28.3746,-16.861,20.94,74,100,5.14,ES,1717982901
137,maumere,-8.6199,122.2111,26.5,73,72,2.68,ID,1717982901
138,nadi,-17.8,177.4167,28.0,54,20,5.14,FJ,1717982901
139,puerto aysen,-45.4,-72.7,6.94,99,100,0.59,CL,1717982653
140,ruidoso,33.3317,-105.673,19.68,45,100,1.54,US,1717982902
141,port lincoln,-34.7333,135.8667,16.97,55,100,4.98,AU,1717982830
142,cromer,52.9312,1.2989,10.94,94,100,2.94,GB,1717982902
143,ta`u,-14.2336,-169.5144,26.48,63,72,8.52,AS,1717982728
144,saint-joseph,-21.3667,55.6167,20.21,81,39,5.04,RE,1717982902
145,rachitoasa,46.4333,27.3667,16.8,89,0,1.19,RO,1717982902
146,kalaleh,37.3807,55.4916,21.2,46,14,2.56,IR,1717982902
147,anadyr,64.75,177.4833,11.28,54,0,7.0,RU,1717982844
148,east london,-33.0153,27.9116,14.85,59,0,2.53,ZA,1717982903
149,bafoulabe,13.8065,-10.8321,30.54,49,57,3.19,ML,1717982903
150,santa ana de yacuma,-13.75,-65.4333,25.09,53,6,1.0,BO,1717982903
151,kalajoki,64.25,23.95,8.28,95,64,2.66,FI,1717982903
152,ust-nera,64.5667,143.2,12.38,31,25,0.96,RU,1717982903
153,baki,-7.6128,110.7839,26.39,80,4,1.06,ID,1717982903
154,imbituba,-28.24,-48.6703,21.03,81,4,2.12,BR,1717982903
155,kertih,4.5141,103.4483,27.01,94,20,1.54,MY,1717982903
156,lida,53.8833,25.2997,10.84,95,19,2.5,BY,1717982904
157,south cleveland,35.1412,-84.8722,24.27,82,20,2.06,US,1717982904
158,cabo san lucas,22.8909,-109.9124,23.16,73,0,5.81,MX,1717982650
159,toliara,-23.35,43.6667,16.05,81,0,6.05,MG,1717982691
160,haiku-pauwela,20.9219,-156.3051,26.85,65,20,10.8,US,1717982621
161,hermanus,-34.4187,19.2345,12.67,78,5,4.55,ZA,1717982904
162,san pedro pochutla,15.7333,-96.4667,28.84,72,100,2.69,MX,1717982904
163,laguna,38.421,-121.4238,30.01,37,0,4.12,US,1717982775
164,fort bragg,35.139,-79.006,28.12,58,100,2.06,US,1717982905
165,saudarkrokur,65.7461,-19.6394,3.22,91,100,1.96,IS,1717982905
166,arar,30.9753,41.0381,30.01,21,0,8.23,SA,1717982905
167,chonchi,-42.6128,-73.8092,9.56,93,100,2.39,CL,1717982843
168,pallattur,10.15,78.8,26.78,73,99,2.5,IN,1717982905
169,lazaro cardenas,17.9583,-102.2,27.1,71,21,4.33,MX,1717982703
170,cape canaveral,28.4058,-80.6048,29.54,75,0,5.66,US,1717982801
171,aberdeen,57.1437,-2.0981,8.12,93,40,4.63,GB,1717982660
172,nadym,65.5333,72.5167,12.76,57,100,7.26,RU,1717982906
173,okha,53.5739,142.9478,9.58,89,94,4.47,RU,1717982906
174,makushino,55.2103,67.2442,14.7,99,100,2.82,RU,1717982906
175,yarmouth,41.7057,-70.2286,15.51,90,0,2.68,US,1717982906
176,mundra,22.85,69.7333,28.74,76,26,8.38,IN,1717982906
177,arraial do cabo,-22.9661,-42.0278,22.87,81,0,12.03,BR,1717982654
178,kone,-21.0595,164.8658,27.37,53,81,2.4,NC,1717982906
179,sittwe,20.15,92.9,28.5,81,99,2.41,MM,1717982907
180,la'ie,21.6477,-157.9253,27.58,68,54,3.58,US,1717982700
181,bredasdorp,-34.5322,20.0403,9.96,91,10,1.44,ZA,1717982775
182,gabu,12.2833,-14.2167,26.29,73,99,3.05,GW,1717982907
183,shahrak,34.1074,64.3052,11.5,48,0,1.78,AF,1717982907
